Tract Number,Mean Age,Latitude,Longitude,GEOID
123510,36,34.175793,-118.36403,1400000US06037124300
123520,33.4,34.1738495,-118.409707,1400000US06037124400
123601,38.8,34.1741095,-118.4246955,1400000US06037124500
123602,42.2,34.161935,-118.4268715,1400000US06037124600
1237,38.4,34.170222,-118.4008735,1400000US06037124902
1238,40.6,34.1666115,-118.4008715,1400000US06037124903
123901,35.5,34.1648815,-118.39212,1400000US06037125100
123902,37.2,34.1648915,-118.383369,1400000US06037125200
1240,35.9,34.1685345,-118.3668635,1400000US06037125310
124102,33.1,34.1667075,-118.3702555,1400000US06037125320
124103,36.3,34.1612765,-118.374603,1400000US06037125401
124104,34.9,34.1568065,-118.3734175,1400000US06037125402
124105,30.9,34.1621865,-118.365879,1400000US06037125501
124201,37.6,34.1564755,-118.3658595,1400000US06037125502
124203,35.2,34.1588915,-118.355607,1400000US06037125600
124204,36.3,34.206446,-118.4443775,1400000US06037127102
1243,38,34.2046925,-118.42898,1400000US06037127103
1244,36.9,34.2056005,-118.4356785,1400000US06037127104
1245,39.8,34.2080785,-118.45744,1400000US06037127210
1246,48,34.2047635,-118.4531115,1400000US06037127220
1247,41.8,34.2087545,-118.4697515,1400000US06037127300
124902,36.3,34.211219,-118.4794785,1400000US06037127400
124903,35.6,34.2182555,-118.469623,1400000US06037127520
125101,35,34.19575,-118.479983,1400000US06037127603
125102,36.3,34.199296,-118.479612,1400000US06037127604
1252,38.1,34.1902705,-118.485831,1400000US06037127605
125310,35.6,34.190276,-118.4777465,1400000US06037127606
125321,33.5,34.1871595,-118.4701935,1400000US06037127711
125322,32.1,34.197487,-118.4701995,1400000US06037127712
125402,35.7,34.197557,-118.4530895,1400000US06037127803
125403,30.8,34.197493,-118.461823,1400000US06037127804
125404,30,34.192108,-118.457452,1400000US06037127805
125501,36.1,34.1886615,-118.457449,1400000US06037127806
125502,38.2,34.197562,-118.444372,1400000US06037127910
1256,44.4,34.197565,-118.435622,1400000US06037127920
127102,32.1,34.1902995,-118.4356175,1400000US06037128101
127103,34.9,34.190296,-118.444351,1400000US06037128102
127104,34.9,34.183584,-118.4443465,1400000US06037128210
127210,34.3,34.1832715,-118.4356135,1400000US06037128220
127220,34,34.18353,-118.4596295,1400000US06037128302
1273,36.7,34.18356,-118.4530775,1400000US06037128303
1274,33.4,34.178852,-118.461253,1400000US06037128400
127520,31.4,34.1703025,-118.4443375,1400000US06037128500
127603,30.3,34.1781255,-118.439977,1400000US06037128601
127604,31.9,34.1712145,-118.4356065,1400000US06037128602
127605,30.6,34.1600075,-118.439966,1400000US06037128702
127606,36.9,34.1684665,-118.46564,1400000US06037128801
127711,37.2,34.1684825,-118.455251,1400000US06037128802
127712,31.9,34.160867,-118.4590905,1400000US06037128910
127803,35.8,34.214552,-118.541108,1400000US06037131010
127804,32.1,34.1992525,-118.5399945,1400000US06037131020
127805,37.5,34.2148095,-118.505505,1400000US06037131100
127806,33.6,34.2147545,-118.514238,1400000US06037131200
127910,34.3,34.2146895,-118.5229705,1400000US06037131300
127920,33.4,34.214622,-118.531704,1400000US06037131400
128101,37.7,34.214462,-118.553111,1400000US06037131600
128102,35.4,34.2046655,-118.5578915,1400000US06037131701
128210,29.4,34.2046775,-118.548712,1400000US06037131702
128220,35.5,34.2047035,-118.527322,1400000US06037131800
128302,32.7,34.2047185,-118.50986,1400000US06037131900
128303,31.8,34.1920605,-118.5142095,1400000US06037132001
1284,37.5,34.193829,-118.5098475,1400000US06037132002
1285,37.5,34.1902625,-118.495655,1400000US06037132101
128601,35,34.20352,-118.4967605,1400000US06037132102
128602,38.5,34.1974585,-118.5273115,1400000US06037132300
128703,36.3,34.197466,-118.548712,1400000US06037132501
128704,43.3,34.190734,-118.5471015,1400000US06037132502
128801,39,34.189425,-118.527258,1400000US06037132700
128802,39.3,34.185127,-118.525918,1400000US06037132900
128910,37.8,34.1944835,-118.557871,1400000US06037133000
131021,30.8,34.185206,-118.5447525,1400000US06037133100
131022,32.7,34.2017765,-118.5906475,1400000US06037134001
131023,36.4,34.2017175,-118.584817,1400000US06037134002
131024,35,34.214331,-118.5666505,1400000US06037134101
1311,38.8,34.214258,-118.5790175,1400000US06037134103
1312,42.6,34.211953,-118.575385,1400000US06037134104
